brand,conversation_id,root_tweet_id,issue_category,useful_public_advice,private_handoff,outcome_confirmed,time_sensitive_advice,notes
SpotifyCares,SpotifyCares_CONV_001,2259585,,,,,,
SpotifyCares,SpotifyCares_CONV_002,2851467,,,,,,
SpotifyCares,SpotifyCares_CONV_003,2445363,,,,,,
SpotifyCares,SpotifyCares_CONV_004,2509480,,,,,,
SpotifyCares,SpotifyCares_CONV_005,337851,,,,,,
SpotifyCares,SpotifyCares_CONV_006,1132220,,,,,,
SpotifyCares,SpotifyCares_CONV_007,2795579,,,,,,
SpotifyCares,SpotifyCares_CONV_008,2395828,,,,,,
SpotifyCares,SpotifyCares_CONV_009,2516158,,,,,,
SpotifyCares,SpotifyCares_CONV_010,2912482,,,,,,
SpotifyCares,SpotifyCares_CONV_011,113846,,,,,,
SpotifyCares,SpotifyCares_CONV_012,703194,,,,,,
SpotifyCares,SpotifyCares_CONV_013,466068,,,,,,
SpotifyCares,SpotifyCares_CONV_014,1988852,,,,,,
SpotifyCares,SpotifyCares_CONV_015,1965555,,,,,,
SpotifyCares,SpotifyCares_CONV_016,1927090,,,,,,
SpotifyCares,SpotifyCares_CONV_017,1366580,,,,,,
SpotifyCares,SpotifyCares_CONV_018,668697,,,,,,
SpotifyCares,SpotifyCares_CONV_019,1833860,,,,,,
SpotifyCares,SpotifyCares_CONV_020,1928603,,,,,,
SpotifyCares,SpotifyCares_CONV_021,2218776,,,,,,
SpotifyCares,SpotifyCares_CONV_022,1707319,,,,,,
SpotifyCares,SpotifyCares_CONV_023,2912474,,,,,,
SpotifyCares,SpotifyCares_CONV_024,462662,,,,,,
SpotifyCares,SpotifyCares_CONV_025,2144265,,,,,,
SpotifyCares,SpotifyCares_CONV_026,431437,,,,,,
SpotifyCares,SpotifyCares_CONV_027,252906,,,,,,
SpotifyCares,SpotifyCares_CONV_028,1369161,,,,,,
SpotifyCares,SpotifyCares_CONV_029,2976805,,,,,,
SpotifyCares,SpotifyCares_CONV_030,1858773,,,,,,
AppleSupport,AppleSupport_CONV_001,1742542,,,,,,
AppleSupport,AppleSupport_CONV_002,675435,,,,,,
AppleSupport,AppleSupport_CONV_003,2117331,,,,,,
AppleSupport,AppleSupport_CONV_004,2120181,,,,,,
AppleSupport,AppleSupport_CONV_005,2914656,,,,,,
AppleSupport,AppleSupport_CONV_006,2577068,,,,,,
AppleSupport,AppleSupport_CONV_007,2515332,,,,,,
AppleSupport,AppleSupport_CONV_008,878563,,,,,,
AppleSupport,AppleSupport_CONV_009,32364,,,,,,
AppleSupport,AppleSupport_CONV_010,121561,,,,,,
AppleSupport,AppleSupport_CONV_011,1651889,,,,,,
AppleSupport,AppleSupport_CONV_012,2276913,,,,,,
AppleSupport,AppleSupport_CONV_013,324505,,,,,,
AppleSupport,AppleSupport_CONV_014,1636590,,,,,,
AppleSupport,AppleSupport_CONV_015,1955631,,,,,,
AppleSupport,AppleSupport_CONV_016,582789,,,,,,
AppleSupport,AppleSupport_CONV_017,2137262,,,,,,
AppleSupport,AppleSupport_CONV_018,566725,,,,,,
AppleSupport,AppleSupport_CONV_019,2889474,,,,,,
AppleSupport,AppleSupport_CONV_020,2355895,,,,,,
